M=4,,,,,,,,
信号,触发次数,上涨次数,下跌次数,上涨概率,下跌概率,平均涨跌幅,上涨股票平均涨幅,下跌股票平均跌幅
BottomDivergence,45,15,28,33.33%,62.22%,-0.35%,2.44%,-1.87%
Death,265,128,133,48.30%,50.19%,-0.27%,1.65%,-2.12%
Gold,263,105,155,39.92%,58.94%,-0.39%,1.71%,-1.82%
,,,,,,,,
,,,,,,,,
M=8,,,,,,,,
信号,触发次数,上涨次数,下跌次数,上涨概率,下跌概率,平均涨跌幅,上涨股票平均涨幅,下跌股票平均跌幅
BottomDivergence,45,23,22,51.11%,48.89%,0.15%,3.41%,-3.25%
Death,265,120,141,45.28%,53.21%,-0.51%,2.63%,-3.20%
Gold,263,116,146,44.11%,55.51%,-0.43%,2.65%,-2.88%
,,,,,,,,
,,,,,,,,
M=16,,,,,,,,
信号,触发次数,上涨次数,下跌次数,上涨概率,下跌概率,平均涨跌幅,上涨股票平均涨幅,下跌股票平均跌幅
BottomDivergence,45,28,17,62.22%,37.78%,-0.08%,3.45%,-5.90%
Death,265,114,151,43.02%,56.98%,-0.86%,3.62%,-4.24%
Gold,263,127,135,48.29%,51.33%,-0.66%,3.19%,-4.27%
,,,,,,,,
,,,,,,,,
M=20,,,,,,,,
信号,触发次数,上涨次数,下跌次数,上涨概率,下跌概率,平均涨跌幅,上涨股票平均涨幅,下跌股票平均跌幅
BottomDivergence,45,27,18,60.00%,40.00%,-0.20%,3.69%,-6.04%
Death,265,115,149,43.40%,56.23%,-1.13%,4.00%,-5.10%
Gold,263,120,140,45.63%,53.23%,-0.71%,3.79%,-4.58%
,,,,,,,,
,,,,,,,,
M=24,,,,,,,,
信号,触发次数,上涨次数,下跌次数,上涨概率,下跌概率,平均涨跌幅,上涨股票平均涨幅,下跌股票平均跌幅
BottomDivergence,45,23,22,51.11%,48.89%,-0.22%,3.90%,-4.52%
Death,265,115,150,43.40%,56.60%,-1.42%,4.20%,-5.73%
Gold,263,107,154,40.68%,58.56%,-1.08%,4.21%,-4.77%
,,,,,,,,
,,,,,,,,
